iter	Passed	Remaining
1114	571859	1479654
1115	572326	1479021
1116	572799	1478407
1117	573269	1477785
1118	573768	1477235
1119	574270	1476694
1120	574751	1476100
1121	575237	1475520
1122	575735	1474968
1123	576241	1474439
1124	576728	1473861
1125	577216	1473287
1126	577710	1472725
1127	578213	1472189
1128	578708	1471631
1129	579204	1471076
1130	579691	1470498
1131	580192	1469958
1132	580683	1469391
1133	581177	1468831
1134	581661	1468246
1135	582152	1467680
1136	582649	1467127
1137	583142	1466568
1138	583638	1466014
1139	584138	1465469
1140	584639	1464928
1141	585117	1464330
1142	585607	1463762
1143	586098	1463196
1144	586590	1462633
1145	587085	1462077
1146	587580	1461522
1147	588066	1460946
1148	588555	1460375
1149	589046	1459812
1150	589537	1459245
1151	590025	1458674
1152	590505	1458083
1153	591007	1457546
1154	591503	1456993
1155	591956	1456336
1156	592453	1455786
1157	592945	1455224
1158	593435	1454658
1159	593925	1454094
1160	594419	1453537
1161	594908	1452969
1162	595398	1452404
1163	595884	1451827
1164	596376	1451268
1165	596869	1450711
1166	597361	1450151
1167	597855	1449595
1168	598346	1449031
1169	598835	1448465
1170	599317	1447882
1171	599780	1447250
1172	600269	1446686
1173	600772	1446151
1174	601275	1445620
1175	601762	1445049
1176	602231	1444434
1177	602718	1443863
1178	603190	1443256
1179	603675	1442681
1180	604172	1442135
1181	604656	1441558
1182	605149	1441003
1183	605628	1440414
1184	606128	1439874
1185	606613	1439300
1186	607103	1438738
1187	607583	1438153
1188	608068	1437579
1189	608562	1437026
1190	609047	1436451
1191	609534	1435883
1192	610022	1435316
1193	610506	1434742
1194	611001	1434190
1195	611491	1433631
1196	611974	1433053
1197	612458	1432478
1198	612946	1431913
1199	613437	1431353
1200	613920	1430778
1201	614406	1430207
1202	614895	1429645
1203	615396	1429110
1204	615905	1428594
1205	616394	1428032
1206	616884	1427472
1207	617375	1426913
1208	617874	1426376
1209	618357	1425800
1210	618851	1425249
1211	619351	1424712
1212	619849	1424172
1213	620339	1423612
1214	620826	1423047
1215	621320	1422497
1216	621824	1421969
1217	622322	1421430
1218	622809	1420863
1219	623307	1420323
1220	623808	1419790
1221	624311	1419262
1222	624799	1418697
1223	625292	1418146
1224	625788	1417602
1225	626287	1417065
1226	626773	1416497
1227	627262	1415937
1228	627753	1415383
1229	628254	1414850
1230	628742	1414288
1231	629245	1413759
1232	629742	1413216
1233	630238	1412673
1234	630731	1412124
1235	631212	1411545
1236	631700	1410985
1237	632195	1410440
1238	632686	1409885
1239	633177	1409329
1240	633664	1408767
1241	634152	1408207
1242	634642	1407650
1243	635136	1407102
1244	635626	1406547
1245	636107	1405971
1246	636585	1405388
1247	637065	1404811
1248	637548	1404240
1249	638021	1403647
1250	638504	1403076
1251	638978	1402486
1252	639462	1401919
1253	639930	1401314
1254	640409	1400735
1255	640890	1400163
1256	641355	1399553
1257	641824	1398952
1258	642300	1398367
1259	642767	1397764
1260	643241	1397175
1261	643718	1396593
1262	644183	1395985
1263	644651	1395384
1264	645123	1394792
1265	645593	1394196
1266	646067	1393609
1267	646533	1393003
1268	647003	1392407
1269	647486	1391841
1270	647951	1391235
1271	648425	1390648
1272	648889	1390039
1273	649365	1389459
1274	649841	1388876
1275	650307	1388274
1276	650789	1387705
1277	651269	1387133
1278	651747	1386556
1279	652228	1385985
1280	652712	1385420
1281	653195	1384856
1282	653681	1384296
1283	654167	1383737
1284	654651	1383174
1285	655137	1382615
1286	655623	1382056
1287	656111	1381502
1288	656597	1380943
1289	657087	1380392
1290	657581	1379850
1291	658072	1379302
1292	658577	1378785
1293	659051	1378202
1294	659540	1377651
1295	660038	1377117
1296	660532	1376576
1297	661024	1376030
1298	661513	1375478
1299	662000	1374924
1300	662506	1374407
1301	662989	1373845
1302	663470	1373277
1303	663956	1372720
1304	664446	1372170
1305	664934	1371617
1306	665425	1371071
1307	665914	1370520
1308	666408	1369981
1309	666900	1369437
1310	667388	1368883
1311	667883	1368346
1312	668371	1367794
1313	668857	1367238
1314	669339	1366674
1315	669825	1366117
1316	670314	1365569
1317	670812	1365036
1318	671298	1364482
1319	671797	1363951
1320	672274	1363378
1321	672764	1362830
1322	673249	1362273
1323	673733	1361714
1324	674217	1361156
1325	674712	1360620
1326	675211	1360090
1327	675706	1359554
1328	676196	1359006
1329	676688	1358464
1330	677184	1357929
1331	677677	1357391
1332	678156	1356821
1333	678639	1356262
1334	679128	1355712
1335	679618	1355166
1336	680104	1354613
1337	680592	1354063
1338	681074	1353502
1339	681556	1352939
1340	682036	1352374
1341	682512	1351801
1342	682989	1351230
1343	683462	1350651
1344	683947	1350096
1345	684417	1349512
1346	684884	1348923
1347	685351	1348333
1348	685828	1347761
1349	686299	1347180
1350	686767	1346592
1351	687231	1345997
1352	687707	1345425
1353	688172	1344832
1354	688637	1344240
1355	689104	1343651
1356	689576	1343072
1357	690056	1342511
1358	690527	1341931
1359	690998	1341349
1360	691475	1340780
1361	691948	1340204
1362	692420	1339628
1363	692891	1339048
1364	693361	1338466
1365	693838	1337899
1366	694311	1337323
1367	694776	1336732
1368	695244	1336148
1369	695718	1335576
1370	696177	1334974
1371	696653	1334407
1372	697120	1333819
1373	697590	1333240
1374	698050	1332641
1375	698522	1332066
1376	698990	1331483
1377	699456	1330896
1378	699930	1330323
1379	700393	1329732
1380	700867	1329161
1381	701334	1328576
1382	701810	1328010
1383	702283	1327438
1384	702750	1326854
1385	703220	1326276
1386	703686	1325690
1387	704152	1325104
1388	704632	1324547
1389	705106	1323977
1390	705576	1323399
1391	706054	1322838
1392	706518	1322249
1393	706989	1321675
1394	707461	1321101
1395	707923	1320510
1396	708387	1319922
1397	708852	1319338
1398	709322	1318761
1399	709797	1318195
1400	710292	1317665
1401	710788	1317139
1402	711275	1316595
1403	711767	1316060
1404	712263	1315532
1405	712751	1314990
1406	713228	1314429
1407	713715	1313885
1408	714210	1313356
1409	714701	1312820
1410	715183	1312268
1411	715672	1311727
1412	716160	1311187
1413	716646	1310642
1414	717137	1310106
1415	717615	1309546
1416	718102	1309003
1417	718586	1308455
1418	719065	1307899
1419	719531	1307317
1420	720012	1306763
1421	720491	1306208
1422	720976	1305660
1423	721442	1305080
1424	721923	1304529
1425	722397	1303963
1426	722867	1303390
1427	723332	1302808
1428	723795	1302223
1429	724270	1301660
1430	724746	1301100
1431	725221	1300536
1432	725687	1299958
1433	726159	1299390
1434	726640	1298837
1435	727122	1298288
1436	727592	1297716
1437	728070	1297159
1438	728547	1296602
1439	729024	1296042
1440	729495	1295473
1441	729954	1294884
1442	730428	1294321
1443	730924	1293796
1444	731415	1293263
1445	731899	1292718
1446	732389	1292183
1447	732877	1291645
1448	733373	1291121
1449	733852	1290568
1450	734338	1290026
1451	734828	1289493
1452	735313	1288949
1453	735803	1288415
1454	736286	1287869
1455	736777	1287336
1456	737259	1286788
1457	737747	1286251
1458	738231	1285706
1459	738702	1285140
1460	739188	1284599
1461	739666	1284045
1462	740143	1283489
1463	740610	1282916
1464	741086	1282358
1465	741551	1281781
1466	742026	1281222
1467	742522	1280699
1468	743015	1280171
1469	743510	1279647
1470	744004	1279120
1471	744504	1278606
1472	744993	1278071
1473	745483	1277538
1474	745977	1277012
1475	746472	1276488
1476	746961	1275953
1477	747450	1275418
1478	747936	1274880
1479	748424	1274343
1480	748887	1273765
1481	749371	1273223
1482	749853	1272677
1483	750327	1272119
1484	750802	1271560
1485	751274	1270998
1486	751755	1270451
1487	752240	1269911
1488	752709	1269344
1489	753180	1268780
1490	753649	1268213
1491	754125	1267658
1492	754613	1267124
1493	755088	1266568
1494	755584	1266045
